linha_produto,cod_item,desc_global,score,method
BESILATO DE ANLODIPINO (5MG CPR SIMPLES),86483,anlodipino 5 mg com,0.69,fuzz_token_set
BESILATO DE ANLODIPINO SOLIDO (CP/CAP/PO) ORAL,86483,anlodipino 5 mg com,0.69,fuzz_token_set
"BESILATO DE ATRACURIO (10MG/ML SOL INJ IV 2,5ML)",86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.67,fuzz_token_set
BESILATO DE ATRACURIO (10MG/ML SOL INJ IV AMPOLA 5ML),115780,propofol 10mg/ml sol inj amp 20ml,0.73,fuzz_token_set
BESILATO DE CISATRACURIO (2MG/ML SOL INJ IV AMP 10ML) ,116736,addaven sol inj amp 10ml,0.8,fuzz_token_set
BESILATO DE CISATRACURIO INJETAVEL (2MG/ML SOL INJ IV AMP 5ML),86670,complexo b sol inj 2 ml amp,0.68,fuzz_token_set
"BETABLOQUEADORES (160MG COMPRIMIDO) 
",87271,trazodona 100 mg com,0.61,fuzz_token_set
BEVACIZUMABE (25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML),112383,guselcumabe 200 mg sol dil infus fa 20 ml - tremfya,0.69,fuzz_token_set
BEVACIZUMABE (25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML),112383,guselcumabe 200 mg sol dil infus fa 20 ml - tremfya,0.7,fuzz_token_set
BICALUTAMIDA (50MG COMPRIMIDO REVESTIDO),102396,nexium 20mg comprimido revestido,0.75,fuzz_token_set
BICARBONATO DE SODIO (84MG/ML SOL INJ IV FRASCO SISTEMA FECHADO 250ML),87321,"bicarbonato de sodio 8,4% 250 ml fr sistema fechado",0.88,fuzz_token_set
BICARBONATO DE SODIO INJETAVEL (84MG/ML SOL INJ IV AMP 10ML),86523,"bicarbonato de sodio 8,4% (84 mg/ml) sol inj amp 10 ml",0.84,fuzz_token_set
BILASTINA,83940,vaselina 1000ml,0.5,fuzz_token_set
"BIMATOPROSTA (0,1MG/ML SOLUCAO OFTALMICA FRASCO GOTEJADOR 3ML)",87193,solucao oftalmica optive 15 ml,0.8,fuzz_token_set
"BIMATOPROSTA (0,3MG/ML SOLUCAO OFTALMICA FRASCO GOTEJADOR 3ML)",87193,solucao oftalmica optive 15 ml,0.8,fuzz_token_set
"BIMATOPROSTA LIQUIDO (0,3+5MG/ML SOL OFT 3ML) OFTALMICO ",87220,systane sol oft gt 10 ml,0.59,fuzz_token_set
